nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260729_205027_000;0.0;4.2;33.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205036_000;0.0;5.0;28.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205036_000;0.0;5.0;32.0;Testes;0.82;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205048_000;0.2;4.6;33.0;noise;0.39;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205048_000;0.0;4.5;33.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205055_000;0.2;3.1;27.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205055_000;0.0;3.2;36.0;Testes;0.47;Inssp7;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205055_000;0.3;4.7;11.0;Tetvir;0.87;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205107_000;0.0;5.0;15.0;noise;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205107_000;0.0;5.0;33.0;Testes;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205113_000;0.3;2.1;29.0;noise;0.26;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205113_000;0.0;2.2;31.0;Testes;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205128_000;0.0;5.0;20.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205128_000;0.0;5.0;33.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205149_000;0.0;3.4;32.0;noise;0.25;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205149_000;0.0;3.4;33.0;Testes;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205149_000;0.2;3.4;9.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205153_000;0.0;3.5;33.0;noise;0.55;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205153_000;0.0;1.9;34.0;Testes;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205206_000;0.2;4.8;26.0;noise;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205206_000;0.0;3.8;33.0;Testes;0.23;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205216_000;0.0;2.8;14.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205216_000;0.0;1.9;34.0;Testes;0.48;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205227_000;0.0;2.0;25.0;noise;0.11;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205227_000;0.0;0.5;29.0;Testes;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205227_000;1.5;2.0;9.0;Tetvir;0.9;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205236_000;0.0;5.0;15.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205236_000;0.0;5.0;33.0;Testes;0.78;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205257_000;0.0;4.3;18.0;noise;0.16;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205257_000;0.0;4.6;33.0;Testes;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205303_000;0.0;2.5;27.0;noise;0.09;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205303_000;0.0;1.1;31.0;Testes;0.14;noise;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205303_000;0.2;3.0;12.0;Tetvir;0.7;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205321_000;0.2;5.0;11.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205321_000;0.0;3.9;31.0;Testes;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205321_000;4.3;5.0;12.0;Tetvir;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205341_000;0.0;2.0;33.0;noise;0.26;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205341_000;0.1;2.0;33.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205346_000;0.0;1.2;37.0;noise;0.06;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205346_000;0.0;1.2;33.0;Testes;0.72;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205346_000;0.6;2.7;11.0;Tetvir;0.92;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205357_000;0.0;5.0;22.0;noise;0.39;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205357_000;0.0;5.0;32.0;Testes;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205412_000;0.0;3.5;25.0;noise;0.35;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205412_000;0.0;2.5;34.0;Testes;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205419_000;0.0;1.8;26.0;noise;0.21;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205419_000;0.0;1.1;33.0;Testes;0.34;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205432_000;0.0;4.6;22.0;noise;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205432_000;0.0;5.0;32.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205432_000;0.2;4.9;12.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205441_000;0.2;1.3;36.0;Leppun;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205441_000;0.1;1.3;18.0;noise;0.31;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205453_000;0.0;4.8;14.0;noise;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205453_000;0.0;4.8;33.0;Testes;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205511_000;1.0;4.5;33.0;noise;0.17;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205511_000;0.3;5.0;17.0;Phogri;0.97;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205511_000;0.0;5.0;33.0;Testes;0.71;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205517_000;0.2;1.8;15.0;noise;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205517_000;0.0;1.6;33.0;Testes;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205537_000;0.0;4.7;16.0;noise;0.63;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205537_000;0.0;4.7;33.0;Testes;0.83;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205554_000;0.2;5.0;20.0;noise;0.49;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205554_000;0.0;5.0;32.0;Testes;0.62;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205614_000;0.4;4.4;26.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205614_000;0.0;3.1;32.0;Testes;0.32;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205622_000;0.0;2.2;33.0;noise;0.23;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205622_000;0.0;2.3;34.0;Testes;0.35;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205622_000;0.0;2.3;15.0;Tetvir;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205636_000;0.0;3.8;28.0;noise;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205636_000;0.0;3.7;32.0;Testes;0.17;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205650_000;0.0;3.8;16.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205650_000;0.0;4.6;32.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205656_000;0.0;3.9;22.0;noise;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205656_000;0.0;2.4;32.0;Testes;0.12;Yposp, Antsp;;;;
