nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_205058_000;0.3;5.0;10.0;Tetvir;0.79;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205105_000;3.1;5.0;30.0;Barfis;0.35;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205105_000;0.0;4.0;15.0;noise;0.49;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205119_000;0.0;1.9;35.0;Leppun;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205119_000;0.2;2.0;28.0;Testes;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205119_000;0.0;2.0;13.0;Tetvir;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205121_000;0.2;3.8;27.0;noise;0.12;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205121_000;0.0;3.6;29.0;Testes;0.4;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205121_000;0.0;2.9;10.0;Tetvir;0.9;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205126_000;0.1;3.3;28.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205126_000;0.0;3.4;32.0;Testes;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205126_000;0.0;3.4;11.0;Tetvir;0.78;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205129_000;0.0;0.5;38.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205129_000;0.1;2.1;15.0;Tetvir;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205137_000;0.0;3.0;30.0;Testes;0.77;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205137_000;1.6;3.5;12.0;Tetvir;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205143_000;0.0;1.6;17.0;noise;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205143_000;0.0;1.8;37.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205156_000;0.1;3.5;26.0;Barfis;0.12;noise, Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205156_000;0.0;1.5;31.0;Testes;0.34;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205210_000;0.0;3.8;30.0;Barfis;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205210_000;0.1;5.0;14.0;noise;0.48;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205217_000;0.3;2.0;28.0;Leppun;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205217_000;0.0;1.2;27.0;noise;0.14;;;;;
