# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Cyrscu;habitat:Agricole-Urbain;automne;4;176;1623;95;Moderee
Decalb;habitat:Agricole-Urbain;automne;1;1;2;18;Faible
Epheph;habitat:Agricole-Urbain;automne;1;9;229;69;Moderee
Eptser;habitat:Agricole-Urbain;automne;4;33;197;106;Bonne
Eupsp;habitat:Agricole-Urbain;automne;1;8;60;86;Moderee
gril;habitat:Agricole-Urbain;automne;1;3;4;14;Faible
Hypsav;habitat:Agricole-Urbain;automne;3;32;221;61;Moderee
Inssp5;habitat:Agricole-Urbain;automne;1;2;5;46;Moderee
Inssp7;habitat:Agricole-Urbain;automne;1;2;42;24;Faible
Isopyr;habitat:Agricole-Urbain;automne;8;21;349;27;Faible
Lamsp.;habitat:Agricole-Urbain;automne;1;10;78;61;Moderee
Leppun;habitat:Agricole-Urbain;automne;12;116;2567;136;Bonne
Metbra;habitat:Agricole-Urbain;automne;1;2;8;13;Faible
Micagr;habitat:Agricole-Urbain;automne;1;2;47;33;Faible
Mimasp;habitat:Agricole-Urbain;automne;1;4;8;69;Moderee
Minsch;habitat:Agricole-Urbain;automne;4;18;93;65;Moderee
Mussp;habitat:Agricole-Urbain;automne;1;6;25;22;Faible
Myobec;habitat:Agricole-Urbain;automne;1;2;3;16;Faible
Myocap;habitat:Agricole-Urbain;automne;4;25;62;31;Faible
Myodau;habitat:Agricole-Urbain;automne;2;10;74;84;Moderee
Myoema;habitat:Agricole-Urbain;automne;2;6;16;78;Moderee
MyoGT;habitat:Agricole-Urbain;automne;1;2;5;23;Faible
Myomys;habitat:Agricole-Urbain;automne;1;8;56;85;Moderee
